groupe,nom_public,oeuvres_concernees,nom_complet_et_variantes,dates_ou_activite,profession,raison_absence,p18_refuse,motif_refus,ou_chercher,requete_conseillee,candidate_url,source,credit,license,commentaire,verdict
2,Louis Hertig,26,Hertig Louis,1880–1958,sculpteur,fiche d’autorité Q110017854 sans aucune image (P18 absent),,,musée des beaux-arts et d'archéologie · Wikidata Q110017854 · Gallica,"""Louis Hertig"" 1880-1958 portrait OR autoportrait OR photographie",,,,,,
3,Louis Morinet,168,Morinet Louis Georges Albert,1863–1926,dessinateur,aucun QID validé,,,"Musée de l’Image, Épinal · BnF/Gallica (imagerie populaire)","""Louis Morinet"" 1863-1926 portrait photographie — Musée de l’Image, Épinal",,,,,,
3,Charles François Pinot,82,Pinot Charles François · PINOT Charles,1817–1874,dessinateur et imprimeur,aucun QID validé,,,"Musée de l’Image, Épinal · BnF/Gallica · Archives des Vosges","""Charles François Pinot"" 1817-1874 portrait photographie — Musée de l’Image, Épinal",,,,,,
3,André Marie Florentin Giraud,59,GIRAUD André Marie Florentin · Giraud Marie André Florentin,1781–1864,dessinateur,aucun QID validé,,,"Musée Crozatier, Le Puy-en-Velay · Archives de la Haute-Loire","""André Marie Florentin Giraud"" 1781-1864 portrait photographie — Musée Crozatier, Le Puy-en-Velay",,,,,,
3,Charles Eugène Ensfelder,48,Ensfelder Eugène · Ensfelder Charles Eugène · Ensfelder Charles,1836–1876,dessinateur,aucun QID validé,,,"Musée de l’Image, Épinal · Archives des Vosges","""Charles Eugène Ensfelder"" 1836-1876 portrait photographie — Musée de l’Image, Épinal",,,,,,
3,Louis Verjat,43,Verjat Louis Victor Emile,1857–1933,photographe,aucun QID validé,,,"Musée Adrien Mentienne, Bry-sur-Marne · Archives du Val-de-Marne","""Louis Verjat"" 1857-1933 portrait photographie — Musée Adrien Mentienne, Bry-sur-Marne",,,,,,
3,Domenico Campagnola,39,CAMPAGNOLA DOMENICO,vers 1500–1564,peintre et graveur,aucun QID validé,,,"Louvre, arts graphiques · INHA (Agorha) · Uffizi","""Domenico Campagnola"" 1500-1564 portrait photographie — Louvre, arts graphiques",,,,,,
3,Antoine Gabriel Willermet,39,WILLERMET Antoine Gabriel,1783 – après 1848,peintre et dessinateur,aucun QID validé,,,Sèvres — Cité de la céramique (89 dessins) · Archives de la manufacture,"""Antoine Gabriel Willermet"" 1783-1848 portrait photographie — Sèvres — Cité de la céramique (89 dessins)",,,,,,
3,Gaspard Dughet,32,DUGHET · GASPARD POUSSIN · GUASPRE · GASPRE,vers 1615–1675,peintre,aucun QID validé,,,"Louvre, arts graphiques · INHA (Agorha) · National Gallery","""Gaspard Dughet"" 1615-1675 portrait photographie — Louvre, arts graphiques",,,,,,
3,Charles du Ry,32,RY Charles du,vers 1568–1655,architecte et dessinateur,"Q1066622 = l'architecte de Kassel (1692-1757). Le Louvre, seul conservateur, donne vers 1568-1655 : le bisaïeul.",,,"Louvre, département des arts graphiques","""Charles du Ry"" 1568-1655 portrait photographie — Louvre, département des arts graphiques",,,,,,
3,Crispin de Passe le Jeune,28,PASSE Crispin II Van de · PASSE Crispin II van de : Graveur,1593–1670,graveur,aucun QID validé,,,Rijksmuseum · RKD (Pays-Bas) · British Museum,"""Crispin de Passe le Jeune"" 1593-1670 portrait photographie — Rijksmuseum",,,,,,
3,Amable Louis Crapelet,28,CRAPELET Louis Amable · CRAPELET Amable Louis,1822–1867,peintre et dessinateur,aucun QID validé,,,"Musée Grobet-Labadié, Marseille · Musée d’Orsay · Louvre, arts graphiques","""Amable Louis Crapelet"" 1822-1867 portrait photographie — Musée Grobet-Labadié, Marseille",,,,,,
3,Jean-Charles François Leloy,28,Leloy Jean Charles François · Leloy Jean-Charles-François,1774–1846,dessinateur d’ornements,aucun QID validé,,,Sèvres — Cité de la céramique (1 770 dessins) · Archives de la manufacture,"""Jean-Charles François Leloy"" 1774-1846 portrait photographie — Sèvres — Cité de la céramique (1 770 dessins)",,,,,,
3,Laurent de La Hyre,26,LA HYRE LAURENT,1606–1656,peintre,aucun QID validé,,,"Louvre, arts graphiques · INHA (Agorha) · musée des Beaux-Arts de Rouen","""Laurent de La Hyre"" 1606-1656 portrait photographie — Louvre, arts graphiques",,,,,,
3,Henry Hennault,26,Hennault Henry,actif entre 1891 et 1901,dessinateur,aucun QID validé,,,"Musée de l’Image, Épinal · BnF/Gallica (imagerie Pellerin)","""Henry Hennault"" 1891-1901 portrait photographie — Musée de l’Image, Épinal",,,,,,
